row_names	Blank	Negctrl	OMblank	OMnegf	OMnegm	R21f	R21m	R24f	R24m	R34f	R34m	S04A	S05E	S06A	S09E	S10A	S11E	S12f	S12m	S13f	S13m	S14A	S15E	S17E	S18A	S19E	S20A	S21E	S23f	S23m	S26A	S27E	S30A	S31E	S31f	S31m	S34A	S35E	S36A	S37E	W09A	W10E	W15A	W16E	W17A	W18E	W19A	W20E	W28E	W29A	W30E	W31A	W32E	Taxon	Consensus
ASV18	549	174	0	0	0	667	0	0	109	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42997	48803	1731	787	0	0	0	0	0	125	0	0	622	Bacteria;Proteobacteria;Gammaproteobacteria;Ignatzschineria_o;Ignatzschineria_f	0.7
ASV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	217	57	0	0	0	0	3658	0	0	0	0	0	0	0	0	0	0	0	0	951	4052	6391	1232	76776	0	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	1
ASV20	0	0	0	0	0	0	0	13663	0	27050	66	0	0	0	0	0	0	4629	0	9252	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	788	293	0	56	0	147	0	0	34917	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Curtobacterium	0.7
ASV21	22880	10394	0	48	0	10350	0	0	0	0	0	0	34	258	47	0	0	0	0	0	0	43	0	35	0	0	0	30	0	0	210	118	422	0	0	0	0	0	56	98	104	106	15475	13699	0	0	0	0	0	0	29	0	13664	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	1
ASV22	0	0	0	0	0	0	3618	0	4863	0	8635	0	0	0	0	0	0	0	6078	0	23166	0	0	0	0	0	0	0	107	22843	0	0	0	0	0	16078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Rodentibacter	0.6
ASV23	0	0	0	0	0	0	0	120	117	0	0	0	0	0	0	111	0	0	0	0	0	18751	12957	29144	5861	3567	4453	3799	0	0	80	0	1168	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1
ASV24	0	0	0	0	0	0	0	559	0	589	0	0	0	0	0	0	26	0	0	0	0	5594	0	496	25056	2014	11845	15424	0	0	0	0	0	0	0	0	5743	2475	3967	533	0	0	0	0	434	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	1
ASV25	1029	351	0	0	0	707	0	0	0	0	0	2917	2276	22282	3109	0	0	0	73	0	0	0	0	0	74	0	102	0	0	0	172	260	298	0	0	0	0	0	0	0	0	0	24326	14290	0	0	0	0	0	0	0	0	569	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.8
ASV26	0	0	0	48	0	114	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	652	1525	15350	14564	14152	15710	0	0	284	1939	593	802	0	0	1398	799	664	2368	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1
ASV27	0	65	0	0	0	0	0	0	0	0	0	0	0	28197	38749	0	0	227	0	227	0	172	0	0	0	0	0	0	0	0	322	322	206	188	0	0	0	177	0	0	0	0	0	0	138	0	0	0	0	0	0	0	71	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	1
